uid,total_interaction,active_days,user_lifetime_days,avg_rating,rating_std,category_div,unique_app,churn
00JZ1DWvzlYrsakR,114,110,3269,3.1228070175438596,1.5059783570774568,37,111,0
00YdvuA4PBpo88SK,41,41,2045,3.1707317073170733,1.5313791010783424,21,41,0
00dLg3En4V6SUkKv,9,9,1001,2.888888888888889,1.6914819275153699,7,9,0
00edxCRm0luKVYaO,7,7,1067,3.5714285714285716,1.1338934190276817,6,7,0
00fXFd76YryRaydg,11,10,2346,2.6363636363636362,1.2060453783110545,11,11,0
00sqA6S0khASowvp,15,15,1120,3.4,1.6388149028228558,12,15,0
00tGR53vpZrig5Yq,39,39,2578,3.051282051282051,1.4858759236419574,24,39,0
00xulLvsJmcSZAgP,6,6,850,3.3333333333333335,1.8618986725025255,6,6,0
010BiJQCEHvo9wNz,5,5,1740,2.6,1.6733200530681511,5,5,1
010FDKiMLiF5h0PH,6,6,1266,2.5,1.9748417658131499,6,6,1
011gCGZT5ZEhfq0d,18,17,1541,3.6666666666666665,1.4142135623730951,16,18,1
015vbYsDfgwuwX6O,11,11,1293,3.4545454545454546,1.507556722888818,9,11,0
017oQpMsGTDnoXwJ,24,24,3372,3.375,1.6100904646471965,17,24,0
01FodcCAXZCVgm5m,7,7,1592,3.7142857142857144,1.3801311186847083,6,7,1
01LKLzXZqO3zePVR,164,153,3002,3.2621951219512195,1.5776926729508527,42,161,0
01a5wA9N1ehzeyGl,117,110,2438,3.247863247863248,1.5641786591337195,39,114,0
01ez9R6TBnRsO6hb,9,9,1826,2.888888888888889,1.6914819275153699,6,9,1
01gkmlByzolfQt7v,5,5,1318,3.2,2.04939015319192,5,5,1
01jPkAC9m9Hsvh7P,5,5,890,3.4,2.1908902300206643,5,5,1
01kMe6nXEkvn9B7V,7,7,1479,3.4285714285714284,1.8126539343499315,6,7,0
01nAhPLniMTFOYzL,5,5,1478,4.2,0.8366600265340756,5,5,1
01xPHcEw9aCUUOsv,29,28,2687,3.3448275862068964,1.6534781969482546,20,29,0
01xpXFvZVdL8Chl8,7,7,882,3.7142857142857144,1.889822365046136,7,7,0
025W4lbJmmpNWeVx,6,6,2478,2.8333333333333335,1.1690451944500122,5,6,1
0260YuiLXQECvQ9A,17,15,1849,3.235294117647059,1.7149858514250886,13,17,0
02IaDw6Aek307Itm,6,6,677,3.0,1.6733200530681511,6,6,1
02LWUqtHVRo0UXks,9,9,1050,3.2222222222222223,1.5634719199411433,9,9,0
02NegXLb5B8nZ64m,5,5,969,3.0,1.8708286933869707,5,5,1
02TVTZPQKw5J1L6W,10,10,1635,4.3,0.6749485577105531,9,10,1
02i3YFESqy6mULVT,10,10,1142,3.6,1.505545305418162,10,10,1
02xBULIH7sJJA0ga,147,136,3112,3.435374149659864,1.5263351541810295,38,142,0
03Ius46pyo5rFort,11,11,2388,3.8181818181818183,1.537412229571615,11,11,1
03Sisq4yr4oTnn77,19,19,3100,3.0,1.5986105077709065,17,19,0
03USxIAOcEyPJnCJ,5,5,1489,4.6,0.8944271909999159,4,5,0
03iZu66ULamkSLiA,9,9,2367,3.2222222222222223,1.922093765778466,6,9,1
03lNmkdV5P3Unu1I,31,31,2114,2.774193548387097,1.334408168923708,17,31,0
03pZ1kZEe5T0kVSY,13,13,1343,4.153846153846154,1.281025230440697,12,13,0
03rnaHOP7XhVkpCM,9,9,2284,3.3333333333333335,1.5,7,9,1
03sZiindoC4P2FDX,8,8,872,3.125,1.8850918886280927,7,8,0
044iLODeim2XqtrU,7,7,2558,3.0,1.7320508075688772,7,7,0
044jjalW3tCg2PSg,6,6,2429,3.5,1.760681686165901,4,6,1
045bfZMe8ApQvkLv,9,9,1017,3.2222222222222223,1.6414763002993509,8,9,0
04DOzRpQWHclw4vm,179,163,3257,3.3240223463687153,1.501322832267879,39,176,0
04HZ7TGb5AdRli9P,151,142,2689,3.205298013245033,1.5332661469108009,37,151,0
04VmaDFVIYVcUe4y,7,7,990,3.857142857142857,1.4638501094227998,7,7,1
04YZCxH5rNhW0T73,10,9,490,3.5,1.2692955176439846,8,10,0
04c5gVQb4JUaK0Ci,5,5,2019,2.8,1.7888543819998317,5,5,1
04cilrvXxAaTWTMq,29,27,2334,3.8620689655172415,1.3289130341059752,23,29,0
04lUIvAjDM0rBjbc,7,7,709,2.857142857142857,1.3451854182690985,6,7,1
04qET4oNfIJLi96f,5,5,476,3.4,1.140175425099138,4,5,0
04rG81XafSKbCsAu,8,8,2914,3.375,1.5059406173077154,7,8,1
04sJQJcEx2YWyGai,7,7,558,3.0,1.7320508075688772,7,7,1
04upXuFM5mNaRRw6,5,5,1502,2.4,1.6733200530681511,3,5,1
04xGTrIFQz80rCcU,29,28,2513,3.2413793103448274,1.640016820771602,16,29,0
050830xckyrXBuvZ,46,45,2749,3.608695652173913,1.2732855291125174,27,46,0
059W3DnP3xrlADth,6,5,1793,2.8333333333333335,1.3291601358251257,6,6,0
05HRDOyoIgi8UvO8,6,6,1293,3.1666666666666665,1.8348478592697182,5,6,0
05dmT30dFgNUjRw9,47,47,2623,3.0638297872340425,1.4803679818552307,22,47,0
05uoh0acUMdejxHo,17,17,2629,3.176470588235294,1.4677914581799016,13,17,1
05zXZJgeIzdELBl1,63,58,2552,3.4126984126984126,1.4770821349486754,28,59,0
069fzRpleMnG7s7V,71,70,1597,3.380281690140845,1.4478180349664957,33,71,0
06FYTdt089B1EPKG,16,16,1773,3.1875,1.558578412100805,14,16,0
06QEJu6vZhS5aRDK,6,6,2746,4.666666666666667,0.5163977794943222,6,6,0
06TVgANIP3QQ6XWf,8,8,973,3.75,1.5811388300841898,6,8,0
06iSXYtlghG5rWCP,7,7,1257,3.0,1.7320508075688774,7,7,0
07082mDubF4fMpeE,7,7,1011,2.5714285714285716,1.3972762620115438,6,7,1
071BrM2wnPXXqj5b,7,7,2912,3.5714285714285716,1.618347187425374,6,7,1
071SakXFRkVj3Kx2,6,6,509,4.5,1.224744871391589,6,6,1
077lz8yYm5LmaKyC,6,6,1736,3.5,1.378404875209022,6,6,1
07IIMQWd8UYkBJIS,102,95,2817,3.4901960784313726,1.4333033094966927,33,100,0
07JkLqEytwKu8r5r,5,5,1674,3.0,1.4142135623730951,5,5,0
07MYqH04GYh824VP,108,102,3207,3.1944444444444446,1.567534723390288,36,108,0
07xlA8nYm2ZoX9UU,7,7,1012,4.285714285714286,1.2535663410560174,5,7,1
080NhPfAmECYkT3C,6,6,2606,2.6666666666666665,1.632993161855452,6,6,1
08Adl2lUAlZG4lKS,11,11,1921,3.909090909090909,1.3751033019046572,8,11,0
08Ev4PoOHBbjaevQ,6,6,589,4.166666666666667,1.602081978759722,5,6,1
08NJu4Mnj4GJ7W10,7,7,1975,2.857142857142857,1.3451854182690985,5,7,1
08Ns5t0ICYOI0dvg,6,6,2276,3.8333333333333335,1.8348478592697182,5,6,0
08R76MR4voxM3C6Q,7,7,2974,2.5714285714285716,1.8126539343499315,6,7,0
08WokdpaxFcEmkjW,13,13,1157,3.5384615384615383,1.5063966175050876,12,13,0
08dMZdehfrhJBajh,89,82,2686,3.404494382022472,1.4902646281449137,37,88,0
08eGYYUmqOxAKYvM,7,7,638,3.5714285714285716,1.8126539343499315,7,7,1
08l0yeFztWI3K4Ij,5,5,995,3.4,2.1908902300206643,5,5,0
08tVTVLNewC3YBhh,36,35,2444,3.4166666666666665,1.4217695212053785,23,36,1
09AMJVPhg4VY1eTa,5,5,1562,2.8,2.04939015319192,5,5,0
09AU2pSFDTvJj1Pj,6,6,788,3.6666666666666665,1.7511900715418263,6,6,0
